Id;Code;Name
2;1000;Brussel
3;1000;Bruxelles
4;1005;Ass. Réun. Com. Communau. Commune
5;1005;Brusselse Hoofdstedelijke Raad
6;1005;Conseil Region Bruxelles-Capitale
7;1005;Ver.Verg.Gemeensch.Gemeensch.Comm.
8;1006;Raad Vlaamse Gemeenschapscommissie
9;1007;Ass. Commiss. Communau. française
10;1008;Chambre des Représentants
11;1008;Kamer van Volksvertegenwoordigers
12;1009;Belgische Senaat
13;1009;Senat de Belgique
14;1010;Cité Administrative de l'Etat
15;1010;Rijksadministratief Centrum
16;1011;Vlaamse Raad - Vlaams Parlement
17;1012;Parlement de la Communauté française
18;1020;Brussel (Laken)
19;1020;Bruxelles (Laeken)
20;1020;Laeken (Bruxelles)
21;1020;Laken (Brussel)
22;1030;Brussel (Schaarbeek)
23;1030;Bruxelles (Schaerbeek)
24;1030;Schaarbeek
25;1030;Schaerbeek
26;1031;Christelijke Sociale Organisaties
27;1031;Organisations Sociales Chrétiennes
28;1040;Brussel (Etterbeek)
29;1040;Bruxelles (Etterbeek)
30;1040;Etterbeek
31;1041;International Press Center
32;1043;VRT
33;1044;RTBF
34;1045;D.I.V.
35;1047;Europees Parlement
36;1047;Parlement Européen
37;1048;E.U.-Raad
38;1048;U.E.-Conseil
39;1049;E.U.-Commissie
40;1049;U.E.-Commission
41;1050;Brussel (Elsene)
42;1050;Bruxelles (Ixelles)
43;1050;Elsene
44;1050;Ixelles
45;1060;Brussel (Sint-Gillis)
46;1060;Bruxelles (Saint-Gilles)
47;1060;Saint-Gilles
48;1060;Sint-Gillis
49;1070;Anderlecht
50;1070;Brussel (Anderlecht)
51;1070;Bruxelles (Anderlecht)
52;1080;Brussel (Sint-Jans-Molenbeek)
53;1080;Bruxelles (Molenbeek-Saint-Jean)
54;1080;Molenbeek-Saint-Jean
55;1080;Sint-Jans-Molenbeek
56;1081;Brussel (Koekelberg)
57;1081;Bruxelles (Koekelberg)
58;1081;Koekelberg
59;1082;Berchem-Sainte-Agathe
60;1082;Brussel (Sint-Agatha-Berchem)
61;1082;Bruxelles (Berchem-Sainte-Agathe)
62;1082;Sint-Agatha-Berchem
63;1083;Brussel (Ganshoren)
64;1083;Bruxelles (Ganshoren)
65;1083;Ganshoren
66;1090;Brussel (Jette)
67;1090;Bruxelles (Jette)
68;1090;Jette
69;1100;Postcheque
70;1105;SOC
71;1110;NAVO - NATO
72;1110;OTAN - NATO
73;1120;Brussel (Neder-Over-Heembeek)
74;1120;Bruxelles (Neder-Over-Heembeek)
75;1120;Neder-Over-Heembeek (Bru.)
76;1130;Brussel (Haren)
77;1130;Bruxelles (Haeren)
78;1130;Haren (Bruxelles)
79;1130;Haren (Brussel)
80;1140;Brussel (Evere)
81;1140;Bruxelles (Evere)
82;1140;Evere
83;1150;Brussel (Sint-Pieters-Woluwe)
84;1150;Bruxelles (Woluwe-Saint-Pierre)
85;1150;Sint-Pieters-Woluwe
86;1150;Woluwe-Saint-Pierre
87;1160;Auderghem
88;1160;Brussel (Oudergem)
89;1160;Bruxelles (Auderghem)
90;1160;Oudergem
91;1170;Brussel (Watermaal-Bosvoorde)
92;1170;Bruxelles (Watermael-Boitsfort)
93;1170;Watermaal-Bosvoorde
94;1170;Watermael-Boitsfort
95;1180;Brussel (Ukkel)
96;1180;Bruxelles (Uccle)
97;1180;Uccle
98;1180;Ukkel
99;1190;Brussel (Vorst)
100;1190;Bruxelles (Forest)
101;1190;Forest
102;1190;Vorst
103;1200;Brussel (Sint-Lambrechts-Woluwe)
104;1200;Bruxelles (Woluwe-Saint-Lambert)
105;1200;Sint-Lambrechts-Woluwe
106;1200;Woluwe-Saint-Lambert
107;1201;R.T.L. - T.V.I.
108;1210;Brussel (Sint-Joost-ten-Node)
109;1210;Bruxelles (Saint-Josse-ten-Noode)
110;1210;Saint-Josse-ten-Noode
111;1210;Sint-Joost-ten-Node
112;1212;FOD Mobiliteit
113;1212;SPF Mobilité
114;1300;Limal
115;1300;Wavre
116;1301;Bierges
117;1310;La Hulpe
118;1315;Glimes
119;1315;Incourt
120;1315;Opprebais
121;1315;Piètrebais
122;1315;Roux-Miroir
123;1320;Beauvechain
124;1320;Hamme-Mille
125;1320;l'Ecluse
126;1320;Nodebais
127;1320;Tourinnes-la-Grosse
128;1325;Bonlez
129;1325;Chaumont-Gistoux
130;1325;Corroy-le-Grand
131;1325;Dion-Valmont
132;1325;Longueville
133;1330;Rixensart
134;1331;Rosières
135;1332;Genval
136;1340;Ottignies
137;1340;Ottignies-Louvain-la-Neuve
138;1341;Céroux-Mousty
139;1342;Limelette
140;1348;Louvain-la-Neuve
141;1350;Enines
142;1350;Folx-les-Caves
143;1350;Jandrain-Jandrenouille
144;1350;Jauche
145;1350;Marilles
146;1350;Noduwez
147;1350;Orp-Jauche
148;1350;Orp-le-Grand
149;1357;Hélécine
150;1357;Linsmeau
151;1357;Neerheylissem
152;1357;Opheylissem
153;1360;Malèves-Sainte-Marie-Wastines
154;1360;Orbais
155;1360;Perwez
156;1360;Thorembais-les-Béguines
157;1360;Thorembais-Saint-Trond
158;1367;Autre-Eglise
159;1367;Bomal (Bt.)
160;1367;Geest-Gérompont-Petit-Rosière
161;1367;Gérompont
162;1367;Grand-Rosière-Hottomont
163;1367;Huppaye
164;1367;Mont-Saint-André
165;1367;Ramillies
166;1370;Dongelberg
167;1370;Jauchelette
168;1370;Jodoigne
169;1370;Jodoigne-Souveraine
170;1370;Lathuy
171;1370;Mélin
172;1370;Piétrain
173;1370;Saint-Jean-Geest
174;1370;Saint-Remy-Geest
175;1370;Zétrud-Lumay
176;1380;Couture-Saint-Germain
177;1380;Lasne
178;1380;Lasne-Chapelle-Saint-Lambert
179;1380;Maransart
180;1380;Ohain
181;1380;Plancenoit
182;1390;Archennes
183;1390;Biez
184;1390;Bossut-Gottechain
185;1390;Grez-Doiceau
186;1390;Nethen
187;1400;Monstreux
188;1400;Nivelles
189;1401;Baulers
190;1402;Thines
191;1404;Bornival
192;1410;Waterloo
193;1414;Promo-Control
194;1420;Braine-l'Alleud
195;1421;Ophain-Bois-Seigneur-Isaac
196;1428;Lillois-Witterzée
197;1430;Bierghes
198;1430;Quenast
199;1430;Rebecq
200;1430;Rebecq-Rognon
201;1435;Corbais
202;1435;Hévillers
203;1435;Mont-Saint-Guibert
204;1440;Braine-le-Château
205;1440;Wauthier-Braine
206;1450;Chastre
207;1450;Chastre-Villeroux-Blanmont
208;1450;Cortil-Noirmont
209;1450;Gentinnes
210;1450;Saint-Géry
211;1457;Nil-Saint-Vincent-Saint-Martin
212;1457;Tourinnes-Saint-Lambert
213;1457;Walhain
214;1457;Walhain-Saint-Paul
215;1460;Ittre
216;1460;Virginal-Samme
217;1461;Haut-Ittre
218;1470;Baisy-Thy
219;1470;Bousval
220;1470;Genappe
221;1471;Loupoigne
222;1472;Vieux-Genappe
223;1473;Glabais
224;1474;Ways
225;1476;Houtain-le-Val
226;1480;Clabecq
227;1480;Oisquercq
228;1480;Saintes
229;1480;Tubize
230;1490;Court-Saint-Etienne
231;1495;Marbais (Bt.)
232;1495;Mellery
233;1495;Sart-Dames-Avelines
234;1495;Tilly
235;1495;Villers-la-Ville
236;1500;Halle
237;1501;Buizingen
238;1502;Lembeek
239;1540;Herfelingen
240;1540;Herne
241;1541;Sint-Pieters-Kapelle (Bt.)
242;1547;Bever
243;1547;Bievene
244;1560;Hoeilaart
245;1570;Galmaarden
246;1570;Tollembeek
247;1570;Vollezele
248;1600;Oudenaken
249;1600;Sint-Laureins-Berchem
250;1600;Sint-Pieters-Leeuw
251;1601;Ruisbroek (Bt.)
252;1602;Vlezenbeek
253;1620;Drogenbos
254;1630;Linkebeek
255;1640;Rhode-Saint-Genese
256;1640;Sint-Genesius-Rode
257;1650;Beersel
258;1651;Lot
259;1652;Alsemberg
260;1653;Dworp
261;1654;Huizingen
262;1670;Bogaarden
263;1670;Heikruis
264;1670;Pepingen
265;1671;Elingen
266;1673;Beert
267;1674;Bellingen
268;1700;Dilbeek
269;1700;Sint-Martens-Bodegem
270;1700;Sint-Ulriks-Kapelle
271;1701;Itterbeek
272;1702;Groot-Bijgaarden
273;1703;Schepdaal
274;1730;Asse
275;1730;Bekkerzeel
276;1730;Kobbegem
277;1730;Mollem
278;1731;Relegem
279;1731;Zellik
280;1740;Ternat
281;1741;Wambeek
282;1742;Sint-Katherina-Lombeek
283;1745;Mazenzele
284;1745;Opwijk
285;1750;Gaasbeek
286;1750;Lennik
287;1750;Sint-Kwintens-Lennik
288;1750;Sint-Martens-Lennik
289;1755;Gooik
290;1755;Kester
291;1755;Leerbeek
292;1755;Oetingen
293;1760;Onze-Lieve-Vrouw-Lombeek
294;1760;Pamel
295;1760;Roosdaal
296;1760;Strijtem
297;1761;Borchtlombeek
298;1770;Liedekerke
299;1780;Wemmel
300;1785;Brussegem
301;1785;Hamme (Bt.)
302;1785;Merchtem
303;1790;Affligem
304;1790;Essene
305;1790;Hekelgem
306;1790;Teralfene
307;1800;Peutie
308;1800;Vilvoorde
309;1804;Cargovil
310;1818;VTM
311;1820;Melsbroek
312;1820;Perk
313;1820;Steenokkerzeel
314;1830;Machelen (Bt.)
315;1831;Diegem
316;1840;Londerzeel
317;1840;Malderen
318;1840;Steenhuffel
319;1850;Grimbergen
320;1851;Humbeek
321;1852;Beigem
322;1853;Strombeek-Bever
323;1860;Meise
324;1861;Wolvertem
325;1880;Kapelle-op-den-Bos
326;1880;Nieuwenrode
327;1880;Ramsdonk
328;1910;Berg (Bt.)
329;1910;Buken
330;1910;Kampenhout
331;1910;Nederokkerzeel
332;1930;Nossegem
333;1930;Zaventem
334;1931;Brucargo
335;1932;Sint-Stevens-Woluwe
336;1933;Sterrebeek
337;1934;Brussel X-Luchthaven Remailing
338;1934;Bruxelles X-Aeroport Remailing
339;1950;Kraainem
340;1970;Wezembeek-Oppem
341;1980;Eppegem
342;1980;Zemst
343;1981;Hofstade (Bt.)
344;1982;Elewijt
